Manufacturer,Model,Year,Category,Mileage,Fuel type,Engine Volume,Cylinders,Gear box type,Drive wheels,Doors,Airbags,Wheel,Interior material,Technical inspection,Catalyst,Price
BMW,520,2014,Sedan,180620 km,Petrol,2.0,4,Automatic,Rear,4/5,9,Left,Fabric,Yes,Yes,11000 $
BMW,M340,2020,Sedan,40000 km,Petrol,3.0 turbo,8,Automatic,Rear,4/5,8,Left,Leather,Yes,Yes,36000 $
BMW,X5,2017,Jeep,130000 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,28700 $
BMW,I3,2015,Hatchback,130000 km,Electric,0.7,4,Automatic,Front,4/5,9,Left,Combined,Yes,No,13000 $
BMW,328,2014,Sedan,235000 km,Petrol,2.0 turbo,4,Tiptronic,Rear,4/5,12,Left,Leather,Yes,Yes,7900 $
BMW,650,2013,Sedan,121000 km,Petrol,4.4 turbo,8,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,9600 $
BMW,X4,2021,Jeep,43200 km,Petrol,2.0 turbo,4,Automatic,4x4,4/5,12,Left,Leather,Yes,Yes,35500 $
BMW,330,2017,Sedan,136000 km,Hybrid,2.0 turbo,4,Tiptronic,Rear,4/5,12,Left,Leather,Yes,Yes,13400 $
BMW,320,2004,Sedan,0 km,Diesel,2.0,4,Manual,Rear,4/5,9,Left,Fabric,Yes,No,3000 $
BMW,X6,2014,Jeep,174000 km,Diesel,3.0 turbo,4,Automatic,4x4,4/5,12,Left,Leather,Yes,Yes,17100 $
BMW,530,2018,Sedan,110000 km,Petrol,2.0,4,Tiptronic,Rear,4/5,9,Left,Leather,Yes,Yes,26000 $
BMW,X5,2014,Jeep,60000 km,Petrol,4.4 turbo,8,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,29500 $
BMW,M3,1994,Coupe,105000 km,Petrol,3.0,6,Manual,Rear,2/3,9,Left,Leather,No,Yes,13500 $
BMW,M4,2019,Coupe,24000 km,Petrol,3.0 turbo,6,Automatic,Rear,2/3,8,Left,Leather,Yes,Yes,49000 $
BMW,X5,2008,Jeep,228360 km,Diesel,3.5 turbo,4,Tiptronic,4x4,4/5,8,Left,Leather,Yes,No,8300 $
BMW,440,2022,Cabriolet,19000 km,Petrol,3.0,6,Tiptronic,Rear,2/3,9,Left,Leather,Yes,Yes,
BMW,M550,2018,Sedan,86500 km,Petrol,4.4,8,Automatic,4x4,4/5,9,Left,Leather,No,Yes,33000 $
BMW,M550,2021,Sedan,37000 km,Petrol,4.4 turbo,8,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,49900 $
BMW,X5,2022,Jeep,44800 km,Petrol,3.0 turbo,6,Automatic,4x4,4/5,12,Left,Leather,Yes,Yes,53000 $
BMW,X5,2014,Jeep,192000 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,23500 $
BMW,228,2014,Coupe,74500 km,Petrol,2.0,4,Manual,Rear,2/3,9,Left,Leather,Yes,Yes,10500 $
Mercedes-Benz,GLB 35 AMG,2021,Jeep,85000 km,Petrol,2.0 turbo,4,Tiptronic,4x4,4/5,8,Left,Alcantara,Yes,Yes,37500 $
Mercedes-Benz,GLE 63 AMG,2021,Jeep,51000 km,Petrol,4.0,8,Tiptronic,4x4,4/5,9,Left,Leather,Yes,Yes,145000 $
Mercedes-Benz,GLE 43 AMG,2018,Jeep,27400 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,42500 $
Mercedes-Benz,G 550,2010,Jeep,187200 km,Petrol,5.5,8,Tiptronic,4x4,>5,12,Left,Leather,Yes,,39500 $
Mercedes-Benz,GLE 53,2022,Jeep,24000 km,Petrol,3.0 turbo,6,Automatic,4x4,4/5,12,Left,Leather,Yes,Yes,85000 $
Mercedes-Benz,E 200,2015,Sedan,218468 km,Diesel,2.1,4,Automatic,Rear,4/5,8,Left,Leather,Yes,Yes,10000 $
Mercedes-Benz,C 300,2017,Sedan,86000 km,Petrol,2.0 turbo,4,Tiptronic,Rear,4/5,12,Left,Leather,Yes,Yes,14400 $
Mercedes-Benz,S 350,2014,Sedan,230000 km,Diesel,3.0 turbo,6,Automatic,Rear,4/5,12,Left,Leather,Yes,Yes,22000 $
Mercedes-Benz,S 550,2014,Sedan,139000 km,Petrol,4.7,8,Tiptronic,4x4,4/5,9,Left,Leather,Yes,Yes,34000 $
Mercedes-Benz,E 350,2014,Sedan,150400 km,Petrol,3.5,6,Tiptronic,Rear,4/5,9,Left,Leather,Yes,Yes,10700 $
Mercedes-Benz,GLA 250,2017,Jeep,88000 km,Petrol,2.0 turbo,4,Tiptronic,4x4,4/5,10,Left,Leather,Yes,Yes,15500 $
Mercedes-Benz,E 350,2015,Sedan,65659 km,Petrol,3.5,6,Tiptronic,4x4,4/5,12,Left,Leather,No,Yes,11500 $
Mercedes-Benz,E 220,2015,Sedan,131000 km,Diesel,2.1,6,Tiptronic,Rear,4/5,9,Left,Leather,Yes,Yes,15700 $
Mercedes-Benz,CLS 550,2013,Sedan,2000 km,Petrol,4.6 turbo,8,Tiptronic,Rear,4/5,12,Left,Leather,Yes,Yes,
Mercedes-Benz,E 55,2019,Sedan,49600 km,Hybrid,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Alcantara,Yes,Yes,41500 $
Mercedes-Benz,S 550,2012,Sedan,212000 km,Petrol,4.7 turbo,8,Tiptronic,Rear,4/5,10,Left,Leather,Yes,Yes,13700 $
Mercedes-Benz,V 220,2023,Minivan,0 km,Diesel,2.2 turbo,4,Tiptronic,Rear,4/5,12,Left,Leather,Yes,Yes,60900 $
Mercedes-Benz,E 220,2015,Sedan,235000 km,Diesel,2.2 turbo,6,Tiptronic,Rear,4/5,12,Left,Leather,Yes,Yes,15000 $
Mercedes-Benz,GLC 43 AMG,2017,Jeep,63000 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,No,28900 $
Mercedes-Benz,C 450 AMG,2016,Sedan,90000 km,Petrol,3.0,6,Tiptronic,4x4,4/5,9,Left,Leather,Yes,Yes,22000 $
Mercedes-Benz,GLA 250,2016,Hatchback,153000 km,Petrol,2.0 turbo,4,Automatic,Front,4/5,12,Left,Leather,Yes,Yes,12500 $
Mercedes-Benz,GLE 450 AMG,2016,Coupe,192000 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,8,Left,Leather,Yes,Yes,38000 $
Mercedes-Benz,G 550,2015,Jeep,93337 km,Petrol,5.5 turbo,8,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,52000 $
Mercedes-Benz,GLA 250,2014,Jeep,100400 km,Petrol,2.0 turbo,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,
Mercedes-Benz,CLS 450,2015,Sedan,105000 km,Petrol,3.0 turbo,6,Tiptronic,Rear,4/5,8,Left,Leather,No,Yes,18500 $
Mercedes-Benz,CLK 350,2006,Coupe,103000 km,Petrol,3.5,6,Tiptronic,Rear,2/3,8,Left,Leather,Yes,Yes,5350 $
Mercedes-Benz,S 600,1996,Sedan,106000 km,Petrol,6.0,12,Automatic,Rear,4/5,9,Left,Leather,Yes,Yes,21800 $
Mercedes-Benz,GLC 300 Coupe,2017,Jeep,98394 km,Petrol,2.0 turbo,8,Tiptronic,4x4,4/5,10,Left,Leather,Yes,Yes,32000 $
Mercedes-Benz,GLE 43 AMG,2017,Jeep,115000 km,Petrol,3.0 turbo,6,Tiptronic,4x4,4/5,11,Left,Leather,Yes,Yes,28500 $
Mercedes-Benz,C 250,2013,Coupe,232000 km,Petrol,1.8 turbo,4,Tiptronic,Rear,2/3,10,Left,Leather,Yes,Yes,6800 $
Toyota,Prius,2007,Hatchback,275200 km,Hybrid,1.5,4,Automatic,Front,4/5,6,Left,Leather,Yes,Yes,4400 $
Toyota,Camry,2019,Sedan,87360 km,Petrol,2.5,4,Tiptronic,Front,4/5,9,Left,Combined,Yes,Yes,15800 $
Toyota,Camry,2015,Sedan,150000 km,Petrol,2.5,4,Automatic,Front,4/5,9,Left,Fabric,Yes,Yes,8900 $
Toyota,Aqua,2015,Hatchback,96000 km,Hybrid,1.5,4,Automatic,Front,4/5,4,Right,Fabric,Yes,Yes,7100 $
Toyota,4 Runner,2016,Jeep,151000 km,Petrol,4.0,6,Tiptronic,4x4,4/5,12,Left,Fabric,Yes,Yes,26000 $
Toyota,Camry,2014,Sedan,259200 km,Hybrid,2.5,4,Automatic,Front,4/5,9,Left,Fabric,Yes,,8350 $
Toyota,Prius,2022,Sedan,25000 km,Hybrid,1.8,4,Automatic,Front,4/5,9,Left,Fabric,Yes,,16800 $
Toyota,RAV 4,2018,Jeep,68000 km,Petrol,2.5,4,Tiptronic,4x4,4/5,8,Left,Fabric,Yes,Yes,14800 $
Toyota,Camry,2014,Sedan,145600 km,Petrol,2.5,4,Automatic,Front,4/5,9,Left,Fabric,Yes,Yes,9800 $
Toyota,Corolla,2020,Sedan,126400 km,Hybrid,1.8,4,Tiptronic,Front,4/5,10,Left,Fabric,Yes,Yes,15500 $
Toyota,Prius,2020,Hatchback,111111 km,Hybrid,1.8,4,Variator,4x4,4/5,12,Left,Leather,Yes,Yes,12800 $
Toyota,RAV 4,2015,Jeep,129000 km,Petrol,2.5,4,Automatic,4x4,4/5,9,Left,Leather,Yes,Yes,13000 $
Toyota,RAV 4,2019,Сrossover,85000 km,Petrol,2.5,6,Automatic,Front,4/5,2,Left,Fabric,Yes,Yes,15200 $
Toyota,Camry,2015,Sedan,0 km,Petrol,2.5,1,Tiptronic,Front,4/5,9,Left,Leather,Yes,Yes,8200 $
Toyota,Camry,2016,Sedan,85000 km,Petrol,2.5,4,Tiptronic,Front,4/5,9,Left,Fabric,Yes,Yes,9900 $
Toyota,Prius,2012,Hatchback,114000 km,Hybrid,1.8,4,Automatic,Front,4/5,9,Left,Fabric,Yes,Yes,7200 $
Toyota,Voxy,2012,Minivan,120000 km,Petrol,2.0,4,Tiptronic,4x4,4/5,6,Right,Fabric,Yes,Yes,9400 $
Toyota,Yaris iA,2017,Sedan,113000 km,Petrol,1.5,4,Automatic,Front,4/5,10,Left,Fabric,Yes,Yes,8800 $
Toyota,RAV 4,2015,Jeep,157648 km,Petrol,2.5,4,Automatic,4x4,4/5,8,Left,Fabric,Yes,Yes,12500 $
Toyota,Prius,2014,Sedan,390400 km,Hybrid,1.8,4,Variator,Front,4/5,6,Left,Leather,Yes,,7300 $
Toyota,RAV 4,2018,Jeep,37000 km,Hybrid,2.4,4,Automatic,4x4,4/5,12,Left,Fabric,Yes,Yes,18500 $
Toyota,Yaris iA,2016,Sedan,75000 km,Petrol,1.5,4,Automatic,Front,4/5,8,Left,Fabric,Yes,Yes,6000 $
Toyota,4 Runner,2017,Jeep,135000 km,Petrol,4.0,6,Tiptronic,4x4,4/5,12,Left,Leather,Yes,Yes,25500 $
Toyota,Camry,2019,Sedan,54000 km,Petrol,2.5,4,Tiptronic,Front,4/5,12,Left,Fabric,Yes,No,13700 $
Toyota,Land Cruiser Prado,2023,Jeep,11800 km,Diesel,2.8 turbo,4,Tiptronic,4x4,4/5,10,Left,Leather,Yes,Yes,62000 $
Toyota,Camry,2014,Sedan,150000 km,Petrol,2.5,4,Tiptronic,Front,4/5,10,Left,Leather,Yes,Yes,9500 $
Toyota,Prius,2008,Hatchback,348800 km,Petrol,1.5,4,Automatic,Front,4/5,4,Left,Fabric,Yes,,3500 $
Toyota,Prius V,2012,Universal,178000 km,Hybrid,1.8,4,Automatic,Front,4/5,8,Left,Leather,Yes,No,5800 $
Toyota,Alphard,2014,Minivan,71200 km,Petrol,2.4,4,Automatic,Front,4/5,9,Right,Fabric,Yes,Yes,11200 $
Toyota,Camry,2000,Sedan,261000 km,Petrol,2.2,4,Manual,Front,4/5,8,Left,Fabric,Yes,Yes,4200 $
